CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75
Residential,1,OGD,OGDEN,SOUTHEAST,BUILT-OUT,1950s,2016,,8714,3889,675,0,4604,2165,1714,1078,2133,519,142,100,995,2155,520,0,331,551,0,322,0,4,3,1,0,2,0,0,320,0,592,11,0,0,1,253,37,458,53,0,15,0,485,245,1301,30,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,135,1,0,0,0,531,241,1253,20,0,0,3,2070,1642,4975,74,1,7,10,976,1438,647,505,102,4576,4138,297,468,193,285,768,708,689,670,325,173,281,409,137,250,709,602,588,582,352,228,578,877,330,535,1477,1310,1277,1252,677,401
Residential,1,CIT,CITADEL,NORTHWEST,BUILT-OUT,1980s/1990s,2016,,10509,3488,816,0,5544,3036,1246,559,1961,821,243,85,378,2822,0,0,224,431,0,11,0,0,0,0,0,0,0,0,216,118,402,8,0,0,1,9,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,360,1108,0,0,0,0,2796,2558,8982,26,0,0,0,404,954,810,1145,139,5222,5287,335,778,442,309,704,809,929,563,260,93,327,726,377,302,692,953,936,589,260,125,662,1504,819,611,1396,1762,1865,1152,520,218
Residential,1,KEL,KELVIN GROVE,SOUTH,BUILT-OUT,1960s/1970s,2016,,2361,903,145,0,979,469,154,104,495,123,49,17,219,355,16,0,504,26,0,0,0,0,0,2,0,0,0,0,470,98,852,34,0,0,0,0,0,0,0,0,0,0,16,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,406,0,0,0,0,26,24,51,0,0,0,0,345,331,1031,8,2,0,2,277,290,120,158,14,1081,1280,66,109,47,59,138,156,139,126,77,164,53,112,49,64,123,146,131,135,95,372,119,221,96,123,261,302,270,261,172,536
Residential,1,PEN,PENBROOKE MEADOWS,EAST,BUILT-OUT,1960s/1970s,2016,,8594,3278,780,0,4035,1890,989,755,1680,487,157,122,832,1614,380,0,169,681,0,434,0,0,0,0,0,0,0,0,144,26,297,25,0,0,14,307,22,623,105,0,8,0,365,192,1166,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,407,1727,35,0,1,1,1571,1243,4781,40,1,1,0,482,1026,699,658,167,4523,4071,321,543,232,277,662,826,680,561,284,137,350,484,195,230,633,707,581,438,304,149,671,1027,427,507,1295,1533,1261,999,588,286
Residential,1,WAL,WALDEN,SOUTH,DEVELOPING,BUILDING OUT,2016,,3859,1517,427,0,2005,1095,460,153,699,333,54,40,391,913,232,0,156,204,0,11,0,0,0,1,0,0,0,0,71,0,91,17,68,0,0,10,2,20,0,0,1,6,201,178,485,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,288,0,0,0,4,188,149,381,3,9,0,11,788,766,2594,55,59,0,1,201,401,257,350,50,1868,1991,187,258,90,82,420,393,201,78,43,116,171,245,95,83,425,397,185,84,51,255,358,503,185,165,845,790,386,162,94,371
Residential,1,RAM,RAMSAY,CENTRE,BUILT-OUT,INNER CITY,2016,,2116,1136,160,0,1327,543,331,235,380,67,84,3,602,755,87,0,54,50,0,182,0,6,2,0,0,0,0,0,50,0,57,4,0,0,0,151,20,248,19,0,12,1,78,33,185,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,16,1,0,0,1,49,0,143,0,0,0,4,691,488,1467,45,9,6,8,350,430,130,103,12,1098,1018,76,60,34,38,217,261,163,166,51,32,69,75,29,48,240,230,136,107,46,38,145,135,63,86,457,491,299,273,97,70
Residential,1,MRL,MARLBOROUGH,NORTHEAST,BUILT-OUT,1960s/1970s,2016,,8784,3224,740,0,4166,1910,792,521,1588,419,111,96,1010,2264,123,0,370,205,0,262,0,0,0,0,0,0,0,2,345,0,908,23,0,0,0,189,47,454,56,0,17,0,112,68,331,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,115,546,19,0,0,1,2181,1680,6545,81,1,0,0,480,955,720,651,207,4643,4141,333,499,221,247,755,873,665,484,391,175,298,426,187,241,637,714,592,430,442,174,631,925,408,488,1392,1587,1257,914,833,349
Residential,1,POI,POINT MCKAY,CENTRE,BUILT-OUT,1960s/1970s,2016,,1364,846,67,0,776,624,146,84,521,97,38,16,174,0,24,0,312,510,0,0,0,0,0,0,0,0,0,0,291,205,411,21,0,0,0,0,0,0,0,0,0,0,23,21,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,398,894,20,0,0,0,0,0,0,0,0,0,0,376,324,78,26,0,642,722,33,21,11,23,131,94,71,122,85,51,30,18,10,29,143,82,86,152,101,71,63,39,21,52,274,176,157,274,186,122
Residential,1,RUT,RUTLAND PARK,WEST,BUILT-OUT,1950s,2016,,2333,977,157,0,1057,695,255,199,412,93,38,32,402,313,42,0,95,492,0,34,0,0,0,1,0,0,0,0,91,0,95,4,0,0,0,25,1,43,5,0,4,0,38,11,99,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84,0,0,0,0,491,431,1248,1,0,0,0,301,252,764,10,2,0,1,276,311,174,169,17,1094,1239,67,119,59,71,158,180,125,110,104,101,62,120,55,79,132,194,137,142,156,162,129,239,114,150,290,374,262,252,260,263
Residential,1,WSP,WEST SPRINGS,WEST,DEVELOPING,BUILDING OUT,2016,,9785,3216,1037,0,4698,2864,1025,298,1579,695,225,219,498,2356,181,29,102,547,0,1,0,0,0,0,0,0,0,0,36,21,77,12,54,0,0,1,0,2,0,0,0,0,180,172,416,1,0,0,0,0,0,0,0,0,0,0,29,28,68,0,0,0,0,0,0,0,0,0,0,0,523,441,1174,20,4,0,4,2313,2202,8048,35,4,0,0,303,843,569,1245,122,4843,4942,380,1095,329,162,428,941,901,362,180,65,390,1052,258,166,519,1150,834,336,182,55,770,2147,587,328,947,2091,1735,698,362,120
Residential,1,MAN,MANCHESTER,CENTRE,BUILT-OUT,EMPLOYMENT,2016,,1013,661,88,0,486,9,19,27,238,88,36,3,296,28,4,0,616,4,0,5,0,1,1,1,0,1,0,0,432,6,768,75,109,0,0,3,0,4,2,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,186,0,0,0,0,0,0,0,0,4,0,1,24,3,41,3,0,0,4,233,137,60,33,3,625,388,41,32,42,57,175,100,74,72,28,4,24,22,7,45,118,81,38,29,20,4,65,54,49,102,293,181,112,101,48,8
Residential,1,GAG,GARRISON GREEN,WEST,BUILT-OUT,BUILDING OUT,2016,,2066,730,253,0,911,486,213,91,393,95,68,39,135,262,72,0,252,141,0,1,0,0,0,2,0,0,0,2,244,113,351,5,0,1,0,1,0,1,0,0,0,0,70,31,213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,324,0,0,0,0,139,119,319,2,0,0,0,260,223,858,1,0,1,2,215,209,125,154,13,951,1115,109,125,20,36,155,196,111,76,42,81,98,123,29,51,215,225,103,84,41,146,207,248,49,87,370,421,214,160,83,227
Residential,1,MAC,MACEWAN GLEN,NORTH,BUILT-OUT,1980s/1990s,2016,,4932,1786,311,0,2640,1523,714,263,1050,383,116,19,218,1515,66,0,0,185,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,29,2,1,1,0,66,43,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,105,402,8,0,0,0,1501,1373,4316,13,1,0,0,244,600,414,449,53,2478,2454,111,329,168,185,296,312,407,452,150,68,128,278,158,148,284,322,424,438,163,111,239,607,326,333,580,634,831,890,313,179
Residential,1,DRG,DEER RIDGE,SOUTH,BUILT-OUT,1980s/1990s,2016,,4110,1509,347,0,2127,1166,833,308,866,295,51,21,276,858,140,0,0,494,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,7,37,0,0,0,0,128,75,369,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,0,0,0,475,304,1236,19,0,0,1,851,780,2404,6,0,0,1,210,514,388,310,49,2032,2078,138,270,150,109,329,300,283,238,131,84,131,269,109,106,356,329,306,260,136,76,269,539,259,215,685,629,589,498,267,160
Residential,1,MOR,MONTEREY PARK,NORTHEAST,BUILT-OUT,2000s,2016,,10671,3180,754,0,5211,2580,647,284,1678,558,206,82,656,2474,23,0,156,138,301,86,1,0,0,1,0,0,0,0,155,100,302,1,0,0,2,51,4,121,19,0,14,0,22,17,75,1,0,0,0,295,287,513,6,0,0,0,0,0,0,0,0,0,0,2,2,107,0,0,0,0,129,61,359,9,0,0,0,2429,2109,9194,42,0,3,2,322,780,521,1110,350,5317,5354,310,647,387,401,680,742,780,693,454,223,305,606,361,374,643,802,791,709,472,291,615,1253,748,775,1323,1544,1571,1402,926,514
Residential,1,DIS,DISCOVERY RIDGE,WEST,BUILT-OUT,2000s,2016,,4331,1650,323,0,2061,1342,546,187,864,262,119,139,266,916,104,0,568,62,0,0,0,0,0,0,0,0,0,2,523,328,844,43,0,0,0,0,0,0,0,0,0,0,103,91,236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,52,120,1,0,0,0,903,871,3131,13,0,0,0,337,495,236,485,37,2127,2204,116,357,201,118,148,275,460,280,120,52,135,334,161,89,173,355,474,271,146,66,251,691,362,207,321,630,934,551,266,118
Residential,1,LMR,LOWER MOUNT ROYAL,CENTRE,BUILT-OUT,INNER CITY,2016,,3365,2397,96,0,2480,741,219,260,1046,194,159,89,909,52,20,4,2187,102,0,29,0,0,0,1,0,2,0,4,1986,635,2876,190,1,6,0,24,3,35,3,2,0,0,20,16,44,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,3,0,113,0,0,0,2,95,64,190,5,0,0,3,43,20,102,4,2,0,3,1291,734,109,35,6,1735,1630,51,30,22,91,719,358,202,132,74,56,37,28,22,141,722,272,148,118,66,76,88,58,44,232,1441,630,350,250,140,132
Residential,1,SOV,SOUTHVIEW,EAST,BUILT-OUT,1950s,2016,,1845,833,132,0,818,414,275,169,352,115,41,14,311,586,25,46,14,54,0,107,0,0,0,1,0,0,0,0,11,0,20,3,0,0,4,72,4,106,16,0,15,2,22,5,55,1,0,0,0,0,0,0,0,0,0,0,45,1,54,1,0,0,0,1,0,56,0,0,0,0,45,0,129,9,0,0,0,565,404,1425,20,1,0,1,211,278,144,110,18,1005,840,57,72,32,66,129,178,168,152,80,71,58,60,30,43,90,124,126,125,89,95,115,132,62,109,219,302,294,277,169,166
Residential,1,CUR,CURRIE BARRACKS,WEST,BUILT-OUT,BUILDING OUT,2016,,729,605,96,0,394,231,88,29,116,35,48,29,377,135,8,0,285,122,0,3,0,0,52,0,0,0,0,2,42,38,71,20,221,0,0,1,0,3,1,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,50,10,2,5,2,73,68,169,14,33,0,1,127,122,436,2,5,0,52,61,97,35,81,4,353,376,45,51,9,18,38,80,48,42,17,5,36,48,21,16,56,84,50,41,23,1,81,99,30,34,94,164,98,83,40,6
Residential,1,DRN,DEER RUN,SOUTH,BUILT-OUT,1980s/1990s,2016,,5182,2112,344,0,2860,1626,936,460,1333,345,124,68,242,1563,117,0,216,206,0,10,0,0,0,0,0,0,0,0,176,0,280,40,0,0,0,9,2,19,1,0,0,0,115,88,320,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,91,347,20,0,0,0,1550,1445,4216,11,1,1,0,377,814,406,397,42,2646,2536,141,268,144,171,322,379,360,498,295,68,142,251,130,132,307,343,381,530,258,62,283,519,274,303,629,722,741,1028,553,130
Residential,1,BYV,BAYVIEW,SOUTH,BUILT-OUT,1960s/1970s,2016,,665,248,38,0,271,233,113,29,162,37,15,12,22,212,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,57,3,0,0,0,207,200,608,5,0,0,0,34,91,45,61,9,327,338,17,50,17,18,8,39,43,56,40,39,11,41,24,19,11,34,62,54,37,45,28,91,41,37,19,73,105,110,77,84
Residential,1,WLD,WILDWOOD,WEST,BUILT-OUT,1950s,2016,,2583,1062,207,0,1311,896,414,149,717,115,62,38,130,1028,19,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,1,0,4,0,18,7,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,984,888,2522,41,2,0,1,209,359,199,229,16,1279,1304,83,164,65,67,128,198,192,220,83,79,84,158,68,38,150,197,219,197,85,108,167,322,133,105,278,395,411,417,168,187
Residential,1,MLR,MILLRISE,SOUTH,BUILT-OUT,1980s/1990s,2016,,6886,2646,505,0,3693,2038,759,418,1223,747,192,52,432,1705,106,0,533,272,0,28,0,0,1,1,0,0,0,0,493,309,784,40,0,0,0,27,3,57,0,0,1,0,105,88,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,125,0,0,0,0,251,165,615,21,0,0,0,1681,1473,5105,23,1,0,2,525,859,503,598,73,3396,3490,216,383,199,255,502,467,566,413,255,140,182,384,198,224,477,523,580,449,267,206,398,767,397,479,979,990,1146,862,522,346
Residential,1,CHR,CHRISTIE PARK,WEST,BUILT-OUT,1980s/1990s,2016,,2153,727,113,0,839,665,196,77,406,141,44,35,101,475,94,0,0,156,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,85,167,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,178,0,0,0,0,153,130,297,3,0,0,0,472,450,1511,2,1,0,2,86,297,135,179,22,1056,1097,45,96,66,68,88,112,133,188,145,115,49,90,82,63,73,120,173,182,132,133,94,186,148,131,161,232,306,370,277,248
Residential,1,REN,RENFREW,CENTRE,BUILT-OUT,INNER CITY,2016,,6436,3469,593,0,3939,1818,814,550,1631,471,236,43,1088,1453,245,4,903,473,0,385,0,4,1,1,0,0,0,1,786,400,1251,55,61,0,10,271,16,413,54,0,50,1,219,133,548,19,6,0,0,0,0,0,0,0,0,0,4,2,13,0,0,0,0,3,2,16,3,0,0,0,460,311,934,13,0,0,4,1357,954,3261,71,17,4,6,1077,1238,409,343,33,3189,3247,269,241,76,149,806,690,420,336,131,71,250,253,92,153,899,660,377,318,129,116,519,494,168,302,1705,1350,797,654,260,187
Residential,1,NHU,NORTH HAVEN UPPER,NORTH,BUILT-OUT,1960s/1970s,2016,,620,246,36,0,329,228,112,31,161,49,13,5,18,245,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,228,620,4,0,0,0,39,96,53,49,4,320,300,16,25,15,28,28,32,51,67,33,25,10,29,16,13,22,38,51,62,35,24,26,54,31,41,50,70,102,129,68,49
Residential,1,ING,INGLEWOOD,CENTRE,BUILT-OUT,INNER CITY,2016,,3865,2340,331,0,2436,1166,642,330,1048,190,135,50,917,844,135,4,852,330,0,149,1,19,4,0,0,2,0,8,695,253,938,130,19,0,2,120,27,213,26,0,1,0,119,68,283,16,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,1,14,7,62,11,0,0,0,320,241,652,10,0,0,7,760,570,1701,64,2,11,26,856,788,221,149,18,1934,1931,161,117,36,85,439,379,311,248,116,42,156,95,47,86,458,376,274,260,109,70,317,212,83,171,897,755,585,508,225,112
Residential,1,EAG,EAGLE RIDGE,SOUTH,BUILT-OUT,1960s/1970s,2016,,474,110,13,0,118,96,41,7,53,21,2,15,19,98,0,0,10,0,0,0,0,0,0,1,1,0,0,0,9,8,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,217,0,0,0,0,0,0,0,0,0,0,0,90,88,242,6,2,0,2,12,50,11,26,2,241,233,8,10,13,13,17,21,36,47,38,38,3,15,9,11,18,23,47,44,32,31,11,25,22,24,35,44,83,91,70,69
Residential,1,LPK,LINCOLN PARK,WEST,BUILT-OUT,1950s,2016,,2689,1097,125,0,763,373,73,87,582,124,34,29,328,0,6,0,819,269,0,0,0,0,0,1,0,2,0,0,771,296,1051,48,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,986,0,0,0,1,246,73,641,20,1,1,0,0,0,0,0,0,0,3,602,247,119,49,9,1072,1617,49,83,126,270,213,108,61,44,42,76,55,50,287,407,210,174,83,59,70,222,104,133,413,677,423,282,144,103,112,298
Residential,1,STR,STRATHCONA PARK,WEST,BUILT-OUT,1980s/1990s,2016,,7083,2444,509,0,3341,2208,819,292,1483,470,160,110,221,1942,224,0,0,273,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,0,0,1,0,221,193,483,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,186,638,4,0,0,0,1922,1826,5948,19,1,0,0,275,815,494,763,69,3490,3593,206,501,280,218,302,487,525,549,267,155,199,536,252,182,299,542,577,576,276,154,405,1037,532,400,601,1029,1102,1125,543,309
Residential,1,SOW,SOUTHWOOD,SOUTH,BUILT-OUT,1960s/1970s,2016,,6277,2665,463,0,3445,1500,836,619,1388,468,199,78,532,1376,288,32,334,520,0,114,1,0,0,0,0,0,0,1,311,95,573,22,0,0,1,102,10,203,9,0,2,0,271,86,720,16,0,1,0,0,0,0,0,0,0,0,31,9,43,1,0,0,0,1,1,6,0,0,0,0,490,161,1269,30,0,0,1,1338,1138,3463,35,0,2,1,606,927,520,426,65,3124,3153,206,313,169,209,595,490,482,325,166,169,187,298,164,195,546,503,457,364,219,220,393,611,333,404,1141,993,939,689,385,389
Residential,1,DNE,DOWNTOWN EAST VILLAGE,CENTRE,BUILT-OUT,CENTRE CITY,2016,,3242,1897,56,0,1067,349,85,96,666,179,131,36,885,0,0,0,1880,14,0,0,1,0,0,0,0,2,0,52,1398,349,1956,167,262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1286,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,3,927,402,54,15,3,2313,929,24,8,84,360,560,392,269,198,324,94,25,16,23,91,302,102,69,93,142,66,49,24,107,451,862,494,338,291,466,160
Residential,1,EAU,EAU CLAIRE,CENTRE,BUILT-OUT,CENTRE CITY,2016,,1666,1354,41,0,769,633,47,33,461,121,57,12,703,1,0,5,1322,25,0,0,0,0,0,0,0,1,0,11,1013,613,1600,224,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,0,0,0,1,0,0,0,24,16,56,1,0,0,0,1,0,3,0,0,0,1,537,417,66,23,0,896,770,17,11,7,30,112,97,141,231,145,105,21,14,5,20,88,85,121,176,144,96,38,25,12,50,200,182,262,407,289,201
Residential,1,MCK,MCKENZIE LAKE,SOUTHEAST,BUILT-OUT,1980s/1990s,2016,,13709,4657,1014,0,7379,4141,2349,904,2433,1198,294,173,559,4237,24,0,0,379,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,36,2,0,1,0,23,20,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,211,865,25,0,0,0,4173,3904,12759,64,0,0,0,461,1441,1038,1470,154,6964,6745,438,984,666,490,684,895,1277,1033,383,114,429,804,595,418,679,1036,1356,947,353,128,867,1788,1261,908,1363,1931,2633,1980,736,242
Residential,1,MAF,MAYFAIR,CENTRE,BUILT-OUT,1950s,2016,,450,156,15,0,202,149,69,20,97,31,9,8,11,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,149,450,2,0,0,0,15,62,24,49,4,223,227,9,40,15,12,13,16,39,50,14,15,5,39,18,7,18,22,39,43,12,24,14,79,33,19,31,38,78,93,26,39
Residential,1,RDL,ROSEDALE,CENTRE,BUILT-OUT,INNER CITY,2016,,1490,628,81,0,715,446,178,84,400,45,24,28,131,571,0,0,36,4,0,16,0,0,0,0,1,0,0,0,35,1,46,1,0,0,0,14,4,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,4,3,9,0,0,0,2,521,438,1404,36,10,2,1,111,215,104,135,10,745,745,33,88,47,39,69,85,119,143,90,32,30,92,48,47,69,85,139,131,67,37,63,180,95,86,138,170,258,274,157,69
Residential,1,MIS,MISSION,CENTRE,BUILT-OUT,INNER CITY,2016,,4430,3435,54,0,3274,937,259,251,1651,299,317,65,1103,71,2,0,3240,59,0,53,0,7,1,2,0,0,0,10,2811,877,3968,352,67,0,0,51,5,67,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,186,1,0,0,0,48,31,92,8,3,0,1,64,23,115,6,0,0,10,1823,1072,67,20,3,2194,2236,25,16,16,138,872,428,227,205,135,132,27,14,8,202,943,339,190,157,134,222,52,30,24,340,1815,767,417,362,269,354
Residential,1,GBK,GLENBROOK,WEST,BUILT-OUT,1950s,2016,,7189,3325,598,0,3857,1586,732,569,1510,464,143,186,1022,911,699,2,764,721,0,225,0,0,0,1,0,2,0,2,708,226,1138,54,0,0,3,172,6,307,37,1,12,0,660,287,1671,34,4,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,3,0,47,0,0,0,1,691,404,1754,29,0,0,0,858,663,2268,51,2,0,3,954,1086,529,446,79,3424,3765,251,416,166,268,710,565,416,341,163,128,230,402,160,264,772,594,486,357,224,276,481,818,326,532,1482,1159,902,698,387,404
Residential,1,TUX,TUXEDO PARK,CENTRE,BUILT-OUT,INNER CITY,2016,,4988,2731,419,0,2937,1130,536,380,1207,265,121,29,1109,1056,464,31,610,247,0,304,2,15,1,0,0,1,0,4,523,130,703,53,24,6,5,233,11,382,56,0,10,1,430,277,1144,30,3,0,0,0,0,0,0,0,0,0,26,9,49,2,3,3,7,7,0,33,5,0,0,0,229,77,500,18,0,0,13,966,626,2177,71,6,0,19,872,916,344,260,22,2556,2432,194,157,79,131,618,546,355,262,139,75,176,154,84,124,577,462,321,261,149,124,370,311,163,255,1195,1008,676,523,288,199
Residential,1,RED,RED CARPET,EAST,BUILT-OUT,1960s/1970s,2016,,1727,915,157,0,860,704,267,297,516,131,58,12,198,0,0,0,400,0,515,0,0,0,0,0,0,0,0,0,394,260,703,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,496,444,1024,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,404,113,58,4,907,820,80,34,22,33,105,153,176,152,93,59,67,50,12,36,105,112,151,144,90,53,147,84,34,69,210,265,327,296,183,112
Residential,1,STA,ST. ANDREWS HEIGHTS,CENTRE,BUILT-OUT,1950s,2016,,1729,647,100,0,673,369,123,54,370,61,81,31,104,405,0,0,108,132,0,0,0,0,0,1,1,0,0,0,87,0,131,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,285,0,0,0,0,131,48,260,1,0,0,0,387,321,1053,10,8,0,2,144,255,80,119,9,838,891,45,60,33,59,166,77,95,120,68,115,46,53,31,85,145,85,97,95,56,198,91,113,64,144,311,162,192,215,124,313
Residential,1,EPK,ELBOW PARK,CENTRE,BUILT-OUT,INNER CITY,2016,,3328,1203,263,0,1465,1017,479,135,743,89,78,71,222,1189,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,10,3,0,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1116,1014,3315,57,12,3,0,120,376,228,373,28,1659,1669,102,247,123,99,94,248,267,268,143,68,106,271,113,89,85,242,298,265,134,66,208,518,236,188,179,490,565,533,277,134
Residential,1,CPF,COPPERFIELD,SOUTHEAST,DEVELOPING,BUILDING OUT,2016,,12571,4859,1725,0,7354,3944,1912,937,2504,1032,270,102,951,3023,51,0,960,818,0,7,0,0,0,0,0,0,0,10,774,615,1316,68,108,0,0,7,1,14,0,0,0,0,51,37,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,735,594,1628,28,47,0,4,2977,2697,9480,34,7,1,0,777,1520,909,1199,139,6309,6262,690,975,254,254,1682,1392,613,302,108,39,692,891,257,318,1787,1302,543,311,127,34,1382,1866,511,572,3469,2694,1156,613,235,73
